"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9521914948","-0.975838585319149","-0.988984455849057","-0.103059416434737","-0.0557022524693878","-0.319474609056604"
"11","-0.982640271929825","-0.98263664490566","-0.994025488297872","-0.593107398474576","-0.528254524130435","-0.581167154444444"
"14","-0.938087898235294","-0.969806729814815","-0.9508361945","-0.215894949525424","0.0132082347333333","0.118687692187963"
"15","-0.964310893611111","-0.979201724745763","-0.975133868867925","-0.535422096111111","-0.402332301666667","-0.517025245833333"
"16","-0.976092920571429","-0.96679600173913","-0.983594244615385","-0.619731930392157","-0.479512983617021","-0.642018064117647"
"17","-0.973669098591549","-0.98879397953125","-0.987334041282051","-0.490166286557377","-0.451126869347826","-0.521435415208333"
"19","-0.972061003493976","-0.968188675753425","-0.975061671643836","-0.0973549846596154","0.147083143564103","-0.2254218170275"
"21","-0.964968005222222","-0.979830938","-0.960082591123596","-0.371744086730769","-0.308879866288889","-0.446691581702128"
"22","-0.964698258611111","-0.959161754193548","-0.97068244031746","-0.501176901956522","-0.525006840277778","-0.523943751666667"
"23","-0.96846913625","-0.957920288823529","-0.952781164558824","0.195569461920339","0.328817010088889","-0.290447408901961"
"25","-0.946259639315069","-0.983827801076923","-0.97839988527027","-0.678750350135135","-0.632916352241379","-0.618579913384615"
"26","-0.983127999342105","-0.981740793333333","-0.98388591027027","-0.56182776559322","-0.44312621","-0.617112539636364"
"27","-0.986795837297297","-0.984141119142857","-0.983731873","-0.534724231403509","-0.402132810611364","-0.594092579607843"
"28","-0.9658244555","-0.963117633611111","-0.948160785316456","-0.50468173962963","-0.217100157608696","-0.522066500784314"
"29","-0.993696336521739","-0.990329245333333","-0.991586674","-0.362232316226415","-0.463125032083333","-0.39404534122449"
"3","-0.978099682258065","-0.95617355","-0.937711157213115","-0.561526265344828","-0.542694164081633","-0.637293508305085"
"30","-0.968170332428571","-0.982005883387097","-0.945628836949153","-0.175900924040154","-0.348065119677419","-0.366058433230769"
"5","-0.978249645769231","-0.955460359318182","-0.939373524464286","-0.513951718392857","-0.382483075106383","-0.516609046808511"
"6","-0.941771544385965","-0.943857393090909","-0.943273146140351","-0.341378429473684","-0.130327465789583","-0.329653779629412"
"7","-0.957570207692308","-0.956678065","-0.957548671320755","-0.151966687436842","-0.21444307293617","-0.567920266470588"
"8","-0.957411160185185","-0.97658989","-0.972595487037037","-0.259729692333333","0.116090879026316","-0.113162144460976"
"10","-0.954670034482759","-0.986179215555556","-0.960323800909091","-0.345209034528302","-0.272495710342105","-0.235858986212766"
"12","-0.95256172","-0.963725248823529","-0.948251856721312","-0.4678863378","-0.420631474130435","-0.604711316153846"
"13","-0.968689729193548","-0.982456053877551","-0.97291308","-0.256213554508772","-0.133828886725532","-0.492176104727273"
"18","-0.985611171384615","-0.988702701403509","-0.983561159726027","-0.570898150714286","-0.641527595090909","-0.649817266551724"
"2","-0.983321635416667","-0.982100923695652","-0.972576152962963","-0.55477211220339","-0.361913824","-0.488086123958333"
"20","-0.973120029558823","-0.964643068787879","-0.91064914109589","0.0310145965868627","-0.138097945555556","-0.162341385629412"
"24","-0.966111980277778","-0.981200181176471","-0.970426493768116","-0.479841432931034","-0.433475431818182","-0.546620981186441"
"4","-0.972187839074074","-0.9675836478","-0.955992945178571","-0.688460056666667","-0.717545840444444","-0.684310201538462"
"9","-0.9345796594","-0.9396930078","-0.954514301555556","-0.436905860576923","-0.312512195452381","-0.499159202857143"
